date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:59	20/20	---M-Z	200	added ('OK')	text/plain	date:Tue,%2030%20Aug%202022%2010:37:59%20GMT	https://beauticotemplate.webflow.io/robots.txt		(from )
10:37:59	135782/135782	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:37:59%20GMT	https://beauticotemplate.webflow.io/	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/index.html	(from )
10:38:00	225000/225000	---M-Z	200	added ('OK')	text/css	etag:%22c53e0501f0d501ae7471bed911fd69f0%22	https://assets.website-files.com/62b2fb35632eafaa312d388e/css/beauticotemplate.webflow.9bc4ff695.css	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eafaa312d388e/css/beauticotemplate.webflow.9bc4ff695.css	(from https://beauticotemplate.webflow.io/)
10:38:00	978/978	---M--	200	added ('OK')	image/png	etag:%2256fc5506a34c13f3dc05e442b09f99e8%22	https://assets.website-files.com/62b2fb35632eafaa312d388e/62be146eb575c00dd6bdcead_Favicon.png	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eafaa312d388e/62be146eb575c00dd6bdcead_Favicon.png	(from https://beauticotemplate.webflow.io/)
10:38:01	4603/4603	---M--	200	added ('OK')	image/png	etag:%2251d823c621c6e163e98aa4103fc6c1a0%22	https://assets.website-files.com/62b2fb35632eafaa312d388e/62be147157fdcba1489f48c1_Webclip.png	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eafaa312d388e/62be147157fdcba1489f48c1_Webclip.png	(from https://beauticotemplate.webflow.io/)
10:38:01	43560/43560	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:01%20GMT	https://beauticotemplate.webflow.io/category/all-products	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/category/all-products.html	(from https://beauticotemplate.webflow.io/)
10:38:01	48906/48906	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:01%20GMT	https://beauticotemplate.webflow.io/product/soft	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/product/soft.html	(from https://beauticotemplate.webflow.io/)
10:38:02	119503/119503	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:02%20GMT	https://beauticotemplate.webflow.io/about	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/about.html	(from https://beauticotemplate.webflow.io/)
10:38:02	44884/44884	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:02%20GMT	https://beauticotemplate.webflow.io/blog	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/blog.html	(from https://beauticotemplate.webflow.io/)
10:38:03	38449/38449	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:03%20GMT	https://beauticotemplate.webflow.io/category/toning-lotion	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/category/toning-lotion.html	(from https://beauticotemplate.webflow.io/)
10:38:03	747107/747107	---M--	200	added ('OK')	image/png	etag:%229e274ea2ecce0ff1040d373af1c0f7bf%22	https://assets.website-files.com/62b2fb35632eaf35a72d38b0/62bccb3f20a748df9c26b6d1_Soft.png	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eaf35a72d38b0/62bccb3f20a748df9c26b6d1_Soft.png	(from https://beauticotemplate.webflow.io/)
10:38:03	38548/38548	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:03%20GMT	https://beauticotemplate.webflow.io/category/smooth-skin	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/category/smooth-skin.html	(from https://beauticotemplate.webflow.io/)
10:38:03	980840/980840	---M--	200	added ('OK')	image/png	etag:%22a0c8c8211d640dd467f410bd55f9ede6%22	https://assets.website-files.com/62b2fb35632eaf35a72d38b0/62bc207fa36fc20496dcb783_Tone.png	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eaf35a72d38b0/62bc207fa36fc20496dcb783_Tone.png	(from https://beauticotemplate.webflow.io/)
10:38:04	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20Aug%202022%2010:38:03%20GMT	https://beauticotemplate.webflow.io/category/cleansing-oil	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/category/cleansing-oil	(from https://beauticotemplate.webflow.io/)
10:38:04	223577/223577	---M--	200	added ('OK')	image/png	etag:%2223a297a65ba31dd78db34a77454c7975%22	https://assets.website-files.com/62b2fb35632eaf35a72d38b0/62bc20a92ce68c8487f2c97f_Clean.png	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eaf35a72d38b0/62bc20a92ce68c8487f2c97f_Clean.png	(from https://beauticotemplate.webflow.io/)
10:38:04	87725/87725	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:04%20GMT	https://beauticotemplate.webflow.io/contact	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/contact.html	(from https://beauticotemplate.webflow.io/)
10:38:04	38390/38390	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:04%20GMT	https://beauticotemplate.webflow.io/account-pages/sign-up	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/account-pages/sign-up.html	(from https://beauticotemplate.webflow.io/)
10:38:05	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20Aug%202022%2010:38:05%20GMT	https://beauticotemplate.webflow.io/checkout	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/checkout	(from https://beauticotemplate.webflow.io/)
10:38:05	222922/222922	---M--	200	added ('OK')	image/jpeg	etag:%22ea87c15d8036154678401fa76b1fce7e%22	https://assets.website-files.com/62b2fb35632eafaa312d388e/62bcd563082027cba3d41e30_curology-WYU8DzFNaLo-unsplash.jpg	C:/My%20Web%20Sites/webflow/assets.website-files.com/62b2fb35632eafaa312d388e/62bcd563082027cba3d41e30_curology-WYU8DzFNaLo-unsplash.jpg	(from https://beauticotemplate.webflow.io/)
10:38:05	49120/49120	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:05%20GMT	https://beauticotemplate.webflow.io/product/clean	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/product/clean.html	(from https://beauticotemplate.webflow.io/)
10:38:05	49148/49148	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Aug%202022%2010:38:05%20GMT	https://beauticotemplate.webflow.io/product/tone	C:/My%20Web%20Sites/webflow/beauticotemplate.webflow.io/product/tone.html	(from https://beauticotemplate.webflow.io/)
